path|original_file|language|is_original_language|duration|training_data|model_name|architecture|transcript|reference_speaker|speaker_similarity
./fake/en/VoXtream2/pink_fairy_book_14_f000172.wav|en_US/by_book/male/elliot_miller/pink_fairy_book/wavs/pink_fairy_book_14_f000172.wav|en|True|9.360|unknown|VoXtream2|VoXtream|At this they howled at him, and were about to lay hold of him and drag him off but when they had got some raps from his walkingstick they let go again,|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_21_f000170.wav|0.6715
./fake/en/VoXtream2/poisoned_pen_07_f000100.wav|en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_07_f000100.wav|en|True|4.800|unknown|VoXtream2|VoXtream|Until we have more facts, anything is both possible and probable.|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_08_f000054.wav|0.6806
./fake/en/VoXtream2/silent_bullet_03_f000022.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_03_f000022.wav|en|True|5.520|unknown|VoXtream2|VoXtream|I had no need to express the interest I now really felt, and Kennedy hastened to take advantage of it.|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_32_f000044.wav|0.7256
./fake/en/VoXtream2/silent_bullet_11_f000046.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_11_f000046.wav|en|True|7.920|unknown|VoXtream2|VoXtream|I gave the letter to the Italian Squad of the police. The next morning my fatherinlaws butler noticed something peculiar about the milk.|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_06_f000068.wav|-0.0170
./fake/en/VoXtream2/jane_eyre_33_f000026.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_33_f000026.wav|en|True|7.920|unknown|VoXtream2|VoXtream|as he put aside his snowwet hair from his forehead and let the firelight shine free on his pale brow and cheek as pale,|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_60_f000257.wav|0.5754
./fake/en/VoXtream2/wives_and_daughters_04_f000188.wav|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_04_f000188.wav|en|True|6.880|unknown|VoXtream2|VoXtream|We understand each other, don't we, doctor? Why, bless your life, he gives me better than he gets many a time|en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_10_f000210.wav|0.6364
./fake/en/VoXtream2/silent_bullet_13_f000294.wav|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_13_f000294.wav|en|True|8.960|unknown|VoXtream2|VoXtream|With tense muscles Kennedy held this terrific engine of destruction and moved it as easily as if it had been a mere pencil of light.|en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_06_f000257.wav|0.7438
./fake/en/VoXtream2/northandsouth_05_f000033.wav|en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_05_f000033.wav|en|True|10.320|unknown|VoXtream2|VoXtream|That morning when she had looked out, her heart had danced at seeing the bright clear lights on the church tower, which foretold a fine and sunny day.|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_30_f000052.wav|0.6333
./fake/en/VoXtream2/piratesofersatz_01_leinster_64kb_f000231.wav|en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_01_leinster_64kb_f000231.wav|en|True|4.960|unknown|VoXtream2|VoXtream|And there's a man named Hoddan who's supposed to head a particularly ruffianly gang.|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_35_f000042.wav|0.7344
./fake/en/VoXtream2/jane_eyre_29_f000130.wav|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_29_f000130.wav|en|True|7.200|unknown|VoXtream2|VoXtream|You should have waited for my leave to descend, she said. You still look very pale  and so thin! Poor child!  poor girl!|en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_34_f000254.wav|0.8115
